,location,company,job_title,salary,city
21727,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21729,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21733,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21741,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21743,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21746,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21756,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21758,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21761,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21770,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21772,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21775,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21785,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21787,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21790,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21800,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21802,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21805,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
21815,"Austin, TX",University of Texas at Austin,Engineering Scientist - Senior Software Defined Radio Receiv...,"$6,250 - $10,833 a month",Austin
21817,"Austin, TX",Winston Fox,Software Development Engineers (Core Java),"$120,000 - $200,000 a year",Austin
21820,"Austin, TX",University of Texas at Austin,Engineering Scientist Associate - Information Systems Engine...,"$5,400 - $6,500 a month",Austin
